Individual('i', [1, 0, 0, 0])(0.040690235690235665, 1.0)
Individual('i', [0, 0, 1, 0])(0.040690235690235665, 1.0)
Individual('i', [0, 1, 0, 0])(0.040690235690235665, 1.0)
Individual('i', [0, 0, 0, 1])(0.040690235690235665, 1.0)
Individual('i', [1, 1, 0, 0])(0.040690235690235665, 2.0)
Individual('i', [0, 1, 1, 0])(0.040690235690235665, 2.0)
Individual('i', [0, 0, 1, 1])(0.040690235690235665, 2.0)
Individual('i', [1, 0, 1, 0])(0.040690235690235665, 2.0)
Individual('i', [0, 1, 0, 1])(0.040690235690235665, 2.0)
