Individual('i', [0, 1, 0, 0])(0.04700336700336705, 1.0)
Individual('i', [0, 0, 0, 1])(0.04700336700336705, 1.0)
Individual('i', [0, 0, 1, 1])(0.04700336700336705, 2.0)
Individual('i', [1, 1, 0, 0])(0.04700336700336705, 2.0)
Individual('i', [1, 0, 1, 0])(0.04700336700336705, 2.0)
Individual('i', [1, 1, 1, 0])(0.04700336700336705, 3.0)
Individual('i', [0, 0, 1, 0])(0.04026936026936023, 1.0)
Individual('i', [1, 0, 0, 0])(0.04026936026936023, 1.0)
Individual('i', [1, 0, 0, 1])(0.04026936026936023, 2.0)
