Individual('i', [0, 0, 1, 0])(0.04742424242424248, 1.0)
Individual('i', [0, 1, 0, 0])(0.04742424242424248, 1.0)
Individual('i', [0, 0, 0, 1])(0.04742424242424248, 1.0)
Individual('i', [0, 1, 1, 0])(0.04742424242424248, 2.0)
Individual('i', [1, 1, 0, 0])(0.04742424242424248, 2.0)
Individual('i', [1, 0, 0, 1])(0.04742424242424248, 2.0)
Individual('i', [0, 0, 1, 1])(0.04742424242424248, 2.0)
Individual('i', [1, 0, 1, 0])(0.04742424242424248, 2.0)
Individual('i', [0, 1, 0, 1])(0.04742424242424248, 2.0)
